country,year,SP,data type,Region,lat,long,displayName,layerName,layerTitle,value,study id,substudy number,site,study start year,study end year,mutation,tested,present,Mixed present,authors,publication year,publication Url,title,notes,pubMedId,marker group,percentage,Mixed percentage,included or excluded,PR,Prev_DR,SP_use
India,2015,0.044663916,DHS,Asia,28.19,94.17,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.00005691513797501102,554,1,Arunachal Pradesh,2014,2015,dhps 437G,45,36,36,"Das MK, Chetry S, Kalita MC, Dutta P",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=27872816,Evidence of triple mutant Pfdhps ISGNGA haplotype in Plasmodium falciparum isolates from North-east India: An analysis of sulfadoxine resistant haplotype selection.,NA,27872816,dhps 437G,80,80,NA,0.0056915137975011,80,4.4663916
India,2015,0.044663916,DHS,Asia,23.78,91.74,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.003572957357391715,554,3,Tripura,2014,2015,dhps 437G,31,31,31,"Das MK, Chetry S, Kalita MC, Dutta P",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=27872816,Evidence of triple mutant Pfdhps ISGNGA haplotype in Plasmodium falciparum isolates from North-east India: An analysis of sulfadoxine resistant haplotype selection.,NA,27872816,dhps 437G,100,100,NA,0.3572957357391715,100,4.4663916
India,2015,0.044663916,DHS,Asia,25.77,90.8,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.06225283071398735,554,2,Assam,2014,2015,dhps 437G,49,30,30,"Das MK, Chetry S, Kalita MC, Dutta P",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=27872816,Evidence of triple mutant Pfdhps ISGNGA haplotype in Plasmodium falciparum isolates from North-east India: An analysis of sulfadoxine resistant haplotype selection.,NA,27872816,dhps 437G,61,61,NA,6.225283071398735,61.224489795918366,4.4663916
India,2015,0.044663916,DHS,Asia,22.26,84.85,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.007770378142595291,418,1,Raurkela,2014,2015,dhps 437G,16,0,0,"Rao PN, Uplekar S, Kayal S, Mallick PK, Bandyopadhyay N, Kale S, Singh OP, Mohanty A, Mohanty S, Wassmer SC, Carlton JM",2016,http://www.ncbi.nlm.nih.gov/pubmed/?term=27008882,A Method for Amplicon Deep Sequencing of Drug Resistance Genes in Plasmodium falciparum Clinical Isolates from India.,NA,27008882,dhps 437G,0,0,NA,0.7770378142595291,0,4.4663916
India,2015,0.044663916,DHS,Asia,20.1,80.8,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.016314128413796425,605,1,Chhattisgarh,2013,2015,dhps 437G,163,9,9,"Patel P, Bharti PK, Bansal D, Ali NA, Raman RK, Mohapatra PK, Sehgal R, Mahanta J, Sultan AA, Singh N",2017,http://www.ncbi.nlm.nih.gov/pubmed/?term=29192183,"Prevalence of mutations linked to antimalarial resistance in Plasmodium falciparum from Chhattisgarh, Central India: A malaria elimination point of view.",NA,29192183,dhps 437G,6,6,NA,1.6314128413796425,5.521472392638037,4.4663916
India,2015,0.044663916,DHS,Asia,12.91,74.86,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.0005499362014234066,815,1,Mangaluru,2015,2015,dhps 437G,112,79,79,"Jakob Wedam, Costanza Tacoli, Prabhanjan P. Gai, Konrad Siegert, Suyamindra S. Kulkarni, Rashmi Rasalkar, Archith Boloor, Animesh Jain, Chakrapani Mahabala, Shantaram Baliga, Damodara Shenoy, Rajeshwari Devi, Pramod Gai, and Frank P. Mockenhaupt",2018,doi:10.4269/ajtmh.18-0549,"Molecular Evidence for Plasmodium falciparum Resistance to Sulfadoxine–Pyrimethamine but Absence of K13 Mutations in Mangaluru, Southwestern India",NA,30398146,dhps 437G,71,71,NA,0.05499362014234066,70.53571428571429,4.4663916
India,2015,0.044663916,DHS,Asia,12.91,74.86,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.0005499362014234066,815,1,Mangaluru,2015,2015,dhps 437G,112,51,51,"Jakob Wedam, Costanza Tacoli, Prabhanjan P. Gai, Konrad Siegert, Suyamindra S. Kulkarni, Rashmi Rasalkar, Archith Boloor, Animesh Jain, Chakrapani Mahabala, Shantaram Baliga, Damodara Shenoy, Rajeshwari Devi, Pramod Gai, and Frank P. Mockenhaupt",2018,doi:10.4269/ajtmh.18-0549,"Molecular Evidence for Plasmodium falciparum Resistance to Sulfadoxine–Pyrimethamine but Absence of K13 Mutations in Mangaluru, Southwestern India",NA,30398146,dhps 437G,71,71,I,0.05499362014234066,45.535714285714285,4.4663916
India,2019,0.06093508,DHS,Asia,20.15,83.06,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.004375881049782038,825,2,"Kaniguma, Orissa",2019,2019,dhps 437G,170,1,1,"Mary Dias, George D’Souza, Aquinas Edassery, Mehul Dhorda",2022,WWARN / St John’s Research Institute / Swasthya Swaraj,"Prevalence of molecular markers of antimalarial drug resistance in Plasmodium falciparum isolates collected from two villages in Kalahandi district, Odisha, India",NA,99999999,dhps 437G,3,3,NA,0.4375881049782038,0.5882352941176471,6.093508
India,2019,0.06093508,DHS,Asia,19.49,83.18,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.004071309231221676,825,4,"Kerpai, Orissa",2019,2019,dhps 437G,39,1,1,"Mary Dias, George D’Souza, Aquinas Edassery, Mehul Dhorda",2022,WWARN / St John’s Research Institute / Swasthya Swaraj,"Prevalence of molecular markers of antimalarial drug resistance in Plasmodium falciparum isolates collected from two villages in Kalahandi district, Odisha, India",NA,99999999,dhps 437G,4,4,NA,0.4071309231221676,2.564102564102564,6.093508
Kenya,2000,0.233720069,MICS,East Africa,-0.08,34.75,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.45182421803474426,743,1,Nyanza,1996,2000,dhps 437G,180,77,77,"Iriemenam NC, Shah M, Gatei W, van Eijk AM, Ayisi J, Kariuki S, Vanden Eng J, Owino SO, Lal AA, Omosun YO, Otieno K, Desai M, ter Kuile FO, Nahlen B, Moore J, Hamel MJ, Ouma P, Slutsker L, Shi YP.",2012,https://www.ncbi.nlm.nih.gov/pubmed/?term=22540158,Temporal trends of sulphadoxine-pyrimethamine (SP) drug-resistance molecular markers in Plasmodium falciparum parasites from pregnant women in western Kenya.,NA,22540158,dhps 437G,100,100,NA,45.182421803474426,42.77777777777778,23.3720069
Kenya,2003,0.097302827,DHS,East Africa,-0.04,34.55,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.5867223143577576,614,1,Kombewa,2003,2003,dhps 437G,33,27,27,"Hemming-Schroeder E, Umukoro E, Lo E, Fung B, TomÃ¡s-Domingo P, Zhou G, Zhong D, Dixit A, Atieli H, Githeko A, Vardo-Zalik A, Yan G.",2018,https://www.ncbi.nlm.nih.gov/pubmed/?term=29363453,"Impacts of Antimalarial Drugs on Plasmodium falciparum Drug Resistance Markers, Western Kenya, 2003-2015.",asymptomatic,29363453,dhps 437G,97,97,NA,58.67223143577576,81.81818181818183,9.7302827
Kenya,2003,0.097302827,DHS,East Africa,0.28,34.75,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.6080369353294373,614,5,Kakamega,2003,2003,dhps 437G,53,49,49,"Hemming-Schroeder E, Umukoro E, Lo E, Fung B, TomÃ¡s-Domingo P, Zhou G, Zhong D, Dixit A, Atieli H, Githeko A, Vardo-Zalik A, Yan G.",2018,https://www.ncbi.nlm.nih.gov/pubmed/?term=29363453,"Impacts of Antimalarial Drugs on Plasmodium falciparum Drug Resistance Markers, Western Kenya, 2003-2015.",asymptomatic,29363453,dhps 437G,97,97,NA,60.803693532943726,92.45283018867924,9.7302827
Kenya,2008,0.032064529,DHS,East Africa,-0.04,34.55,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.17354853451251984,614,3,Kombewa,2008,2008,dhps 437G,194,152,152,"Hemming-Schroeder E, Umukoro E, Lo E, Fung B, TomÃ¡s-Domingo P, Zhou G, Zhong D, Dixit A, Atieli H, Githeko A, Vardo-Zalik A, Yan G.",2018,https://www.ncbi.nlm.nih.gov/pubmed/?term=29363453,"Impacts of Antimalarial Drugs on Plasmodium falciparum Drug Resistance Markers, Western Kenya, 2003-2015.",asymptomatic,29363453,dhps 437G,97,97,NA,17.354853451251984,78.35051546391753,3.2064529
Kenya,2008,0.032064529,DHS,East Africa,-0.08,34.75,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.14271914958953857,743,2,Nyanza,2002,2008,dhps 437G,176,172,172,"Iriemenam NC, Shah M, Gatei W, van Eijk AM, Ayisi J, Kariuki S, Vanden Eng J, Owino SO, Lal AA, Omosun YO, Otieno K, Desai M, ter Kuile FO, Nahlen B, Moore J, Hamel MJ, Ouma P, Slutsker L, Shi YP.",2012,https://www.ncbi.nlm.nih.gov/pubmed/?term=22540158,Temporal trends of sulphadoxine-pyrimethamine (SP) drug-resistance molecular markers in Plasmodium falciparum parasites from pregnant women in western Kenya.,NA,22540158,dhps 437G,100,100,NA,14.271914958953856,97.72727272727272,3.2064529
Kenya,2008,0.032064529,DHS,East Africa,-0.37,35.29,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.01139267161488533,459,11,Kericho,2008,2008,dhps 437G,14,14,14,"Juma DW, Omondi AA, Ingasia L, Opot B, Cheruiyot A, Yeda R, Okudo C, Cheruiyot J, Muiruri P, Ngalah B, Chebon LJ, Eyase F, Johnson J, Bulimo WD, Akala HM, Andagalu B, Kamau E",2014,http://www.ncbi.nlm.nih.gov/pubmed/?term=24989984,Trends in drug resistance codons in Plasmodium falciparum dihydrofolate reductase and dihydropteroate synthase genes in Kenyan parasites from 2008 to 2012.,NA,24989984,dhps 437G,100,100,NA,1.139267161488533,100,3.2064529
Kenya,2015,0.003391992,DHS,East Africa,-0.04,34.55,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.19115862250328064,614,4,Kombewa,2015,2015,dhps 437G,93,90,90,"Hemming-Schroeder E, Umukoro E, Lo E, Fung B, TomÃ¡s-Domingo P, Zhou G, Zhong D, Dixit A, Atieli H, Githeko A, Vardo-Zalik A, Yan G.",2018,https://www.ncbi.nlm.nih.gov/pubmed/?term=29363453,"Impacts of Antimalarial Drugs on Plasmodium falciparum Drug Resistance Markers, Western Kenya, 2003-2015.",asymptomatic,29363453,dhps 437G,97,97,NA,19.115862250328064,96.7741935483871,0.3391992
Kenya,2015,0.003391992,DHS,East Africa,0.28,34.75,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.11931563168764114,614,8,Kakamega,2015,2015,dhps 437G,40,31,31,"Hemming-Schroeder E, Umukoro E, Lo E, Fung B, TomÃ¡s-Domingo P, Zhou G, Zhong D, Dixit A, Atieli H, Githeko A, Vardo-Zalik A, Yan G.",2018,https://www.ncbi.nlm.nih.gov/pubmed/?term=29363453,"Impacts of Antimalarial Drugs on Plasmodium falciparum Drug Resistance Markers, Western Kenya, 2003-2015.",asymptomatic,29363453,dhps 437G,97,97,NA,11.931563168764114,77.5,0.3391992
Malawi,2000,0.241830003,DHS,Southern Africa,13.78,34.46,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.05417011305689812,746,7,Salima,2000,2000,dhps 437G,339,39,39,"Mita T, Venkatesan M, Ohashi J, Culleton R, Takahashi N, Tsukahara T, Ndounga M, Dysoley L, Endo H, Hombhanje F, Ferreira MU, Plowe CV, Tanabe K.",2011,https://www.ncbi.nlm.nih.gov/pubmed/?term=22021623,Limited geographical origin and global spread of sulfadoxine-resistant dhps alleles in Plasmodium falciparum populations.,NA,22021623,dhps 437G,12,12,NA,5.417011305689812,11.50442477876106,24.1830003
Malawi,2006,0.203177361,MICS,Southern Africa,-14.22,35.39,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.238559290766716,531,1,Lungwena,2003,2006,dhps 437G,88,79,79,"Lin JT, Mbewe B, Taylor SM, Luntamo M, Meshnick SR, Ashorn P",2013,http://www.ncbi.nlm.nih.gov/pubmed/?term=23198734,Increased prevalence of dhfr and dhps mutants at delivery in Malawian pregnant women receiving intermittent preventive treatment for malaria.,NA,23198734,dhps 437G,90,90,NA,23.8559290766716,89.77272727272727,20.3177361
Malawi,2012,0.00394543,DHS,Southern Africa,-16.07,35.13,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.17703793942928314,441,1,Thyolo,2012,2012,dhps 437G,733,720,720,"Artimovich E, Kapito-Tembo A, Pensulo P, Nyirenda O, Brown S, Joshi S, Taylor TE, Mathanga D, Escalante AA, Laufer MK, Takala-Harrison S",2015,http://www.ncbi.nlm.nih.gov/pubmed/?term=26437774,The effect of local variation in malaria transmission on the prevalence of sulfadoxine-pyrimethamine resistant haplotypes and selective sweep characteristics in Malawi.,Cross-sectional survey,26437774,dhps 437G,98,98,NA,17.703793942928314,98.22646657571624,0.394543
Malawi,2012,0.00394543,DHS,Southern Africa,-16.03,34.76,Global Pf Parasite Rate,Malaria:202206_Global_Pf_Parasite_Rate,"Proportion of Children 2 to 10 years of age showing, on a given year, detectable Plasmodium falciparum parasite",0.20809857547283173,441,1,Chikwawa,2012,2012,dhps 437G,558,555,555,"Artimovich E, Kapito-Tembo A, Pensulo P, Nyirenda O, Brown S, Joshi S, Taylor TE, Mathanga D, Escalante AA, Laufer MK, Takala-Harrison S",2015,http://www.ncbi.nlm.nih.gov/pubmed/?term=26437774,The effect of local variation in malaria transmission on the prevalence of sulfadoxine-pyrimethamine resistant haplotypes and selective sweep characteristics in Malawi.,Cross-sectional study,26437774,dhps 437G,99,99,NA,20.809857547283173,99.46236559139786,0.394543
